0,8.3732,159.77,-37.765
0.01,8.3751,159.77,-37.765
0.02,8.378,159.77,-37.765
0.03,8.3818,159.77,-37.764
0.04,8.3866,159.76,-37.764
0.05,8.3923,159.76,-37.764
0.06,8.399,159.76,-37.763
0.07,8.4067,159.76,-37.762
0.08,8.4152,159.76,-37.762
0.09,8.4247,159.75,-37.761
0.1,8.4352,159.75,-37.76
0.11,8.4466,159.75,-37.759
0.12,8.4589,159.74,-37.758
0.13,8.4721,159.74,-37.757
0.14,8.4863,159.73,-37.756
0.15,8.5014,159.73,-37.755
0.16,8.5174,159.72,-37.754
0.17,8.5343,159.72,-37.752
0.18,8.5522,159.71,-37.751
0.19,8.5709,159.7,-37.749
0.2,8.5906,159.7,-37.747
0.21,8.6112,159.69,-37.746
0.22,8.6327,159.68,-37.744
0.23,8.6552,159.67,-37.742
0.24,8.6786,159.66,-37.739
0.25,8.7029,159.65,-37.737
0.26,8.7281,159.65,-37.735
0.27,8.7543,159.64,-37.732
0.28,8.7813,159.63,-37.729
0.29,8.8092,159.62,-37.725
0.3,8.8377,159.61,-37.721
0.31,8.8655,159.6,-37.717
0.32,8.894,159.59,-37.713
0.33,8.9217,159.58,-37.708
0.34,8.9502,159.56,-37.704
0.35,8.9778,159.55,-37.699
0.36,9.0063,159.54,-37.695
0.37,9.0339,159.53,-37.691
0.38,9.0624,159.52,-37.686
0.39,9.09,159.51,-37.682
0.4,9.1184,159.5,-37.678
0.41,9.146,159.49,-37.673
0.42,9.1744,159.48,-37.669
0.43,9.202,159.47,-37.665
0.44,9.2304,159.46,-37.66
0.45,9.2579,159.45,-37.656
0.46,9.2863,159.44,-37.652
0.47,9.3138,159.43,-37.647
0.48,9.3421,159.42,-37.643
0.49,9.3696,159.41,-37.639
0.5,9.3979,159.4,-37.634
0.51,9.4254,159.39,-37.63
0.52,9.4537,159.38,-37.626
0.53,9.4812,159.37,-37.622
0.54,9.5094,159.36,-37.617
0.55,9.5369,159.35,-37.613
0.56,9.5651,159.34,-37.609
0.57,9.5925,159.33,-37.605
0.58,9.6207,159.32,-37.6
0.59,9.6481,159.31,-37.596
